ra,dec,parallax,teff,radius,luminosity,phot_g_mean_mag,feh,x,y,z,processed_feh
130.10625269727572,19.475708151881754,5.359693205522584,6337.788,1.4894471,3.2247474,9.741808,-0.062,-0.11331757932149414,0.13453914941552692,0.06220639170418303,-0.062
130.10875563419248,19.686422854998124,5.311554649792156,6561.26,1.7396213,5.053044,9.272019,-0.01,-0.11420101121352948,0.1355760056426277,0.0634225146444968,-0.01
130.11288645862308,16.78512067803372,4.672452936002059,5413.5,0.95033973,0.6988195,11.755462,-0.202,-0.1320174090178959,0.1567041668214546,0.06180547601702739,-0.202
130.1141587359789,19.277983892034776,5.172223400870936,5766.6665,1.0508779,1.1002684,11.008219,-0.06,-0.11758669616725036,0.13956867528831668,0.06383168008150066,-0.06
130.13186671235525,19.850228268631096,5.385304078518216,5393.275,0.96582115,0.71104705,11.43092,0.029,-0.11257527540821587,0.1335366264988635,0.063053563345129,0.029
130.13251642912704,20.201612683690826,5.532530142337327,5566.0,0.91253567,0.72005755,11.338902,-0.091,-0.10933633641752323,0.12969161748089686,0.06241712298042783,-0.091
130.13926737762782,19.633534937500432,5.33734520749399,5497.3335,0.72635347,0.4341093,11.973501,0.074,-0.1137585234593513,0.1349048302252519,0.06295318754640654,0.074
130.1398267833588,18.674438928024852,5.3116272548326355,5350.225,0.9874833,0.7198508,11.453332,-0.13,-0.11497722390456148,0.13634737079686882,0.060281034280873294,-0.13
130.15080951408973,21.561656990105504,5.359579189347476,5355.7,0.9381778,0.6524242,11.53983,0.02,-0.11188941437870203,0.13263405126661315,0.06856923649239782,0.02
130.16616675520427,19.66915591458248,5.224472651748133,5518.0,1.3243622,1.4649912,10.697074,0.026,-0.11625510772672008,0.1377342348986927,0.06442533235495135,0.026
130.1768415850325,19.565950469664948,5.434498925342303,5708.6665,0.94985634,0.8632752,11.168357,-0.01,-0.11185867481075484,0.13247544107738368,0.061623283512444456,-0.01
130.17901452379576,20.569972607564072,5.598919048798212,5389.5,1.4568118,1.613227,10.457455,-0.057,-0.10788578932927768,0.1277604798248982,0.06275336898091986,-0.057
130.19185901677696,19.309544123090372,5.155494943710517,6572.73,1.6449593,4.549757,9.450672,0.001,-0.1181352353615944,0.13983446977621403,0.06413964259026878,0.001
130.19822404673846,18.903257096470284,5.424587502525081,5564.5645,0.96186626,0.7991877,11.268625,-0.03,-0.11256593856984007,0.13321217536829058,0.05972273462133087,-0.03
130.20118894125577,19.92186716878684,5.379406460594913,5857.6665,1.0443019,1.1567656,10.86291,0.016,-0.11280932418098223,0.13348618941587623,0.0633412612940028,0.016
130.21868826258154,19.483159241781873,5.250760930274734,6148.0,1.3274523,2.2681305,10.172423,-0.031,-0.11593240274676918,0.1370967431448428,0.06352027482570252,-0.031
130.22847327084418,19.935117077938127,5.509029390621481,5179.87,0.84627444,0.46450743,11.877113,0.057,-0.11020783117933101,0.1302819747345771,0.06189035722620038,0.057
130.231795062387,21.237351194428157,4.927836969088945,5890.6665,1.0636562,1.2273121,10.987225,,-0.1221668357174682,0.14440230925669179,0.07350735801312451,0.012098113578301706
130.24791944698953,17.293318431039026,4.503037848715367,6888.907,1.587627,5.114381,9.619587,0.02,-0.1369941377496512,0.16183592757153148,0.0660139981611966,0.02
130.2801856227513,17.995473898502436,4.869121359623438,5504.5,1.1649112,1.1224108,11.140703,-0.197,-0.12628531739044566,0.14901497368138678,0.06344920192543792,-0.197
130.28867146118998,18.63603654560592,5.823553181238146,5493.6665,1.2943302,1.3747828,10.533008,0.009,-0.10521654507450293,0.12411683191037241,0.0548729171360333,0.009
130.29159591383626,19.50885586138721,5.355577500320106,6234.35,1.3799919,2.5918658,9.982521,-0.066,-0.11381630690978228,0.13424749610904504,0.06235603043894388,-0.066
130.29278627529197,19.818555468066727,5.436169554449619,5483.3335,0.9731589,0.7713312,11.31113,-0.039,-0.11191533547001478,0.13199972108659763,0.062367924159143676,-0.039
130.29432479559256,19.82948169822804,5.398244918611339,6996.1777,1.753435,6.636168,8.944861,-0.009,-0.11269740302518985,0.13291490315327958,0.06283931411754495,-0.009
130.29592268749644,20.83266365772199,5.532177328278134,5342.3237,0.83356947,0.50991654,11.740467,-0.098,-0.10926148867801908,0.12885531300432154,0.064285690211929,-0.098
130.29635968123347,17.169774179459115,5.793778982232047,5987.3335,1.267492,1.8600258,10.179703,-0.084,-0.10665211714917731,0.12577605904285855,0.05095190241021959,-0.084
130.35751606006852,19.943515067588343,5.272677226949827,5922.75,1.18589,1.5591114,10.578912,0.07,-0.11544813505509872,0.13585506542021863,0.06469077632744474,0.07
130.3622455805399,19.54240922775571,5.402724173214852,6466.0,1.4348289,3.2421846,9.717248,-0.007,-0.11296363732328148,0.13290916600333358,0.06191404225042945,-0.007
130.36935419470484,19.746630608891962,5.397323334452173,5768.5,1.1175649,1.2459248,10.780605,0.01,-0.11294938015628533,0.13285898392679021,0.06259794879325167,0.01
130.38124248309617,18.50056278078959,5.370153060413138,6166.375,1.238256,1.9972632,10.261184,0.01,-0.11440808955299396,0.13451825066671166,0.0590884407973541,0.01
130.39079753994815,19.969030270409938,5.41732173659577,5328.0,0.95304805,0.6594489,11.508884,0.029,-0.1124242346663462,0.13214102331843994,0.0630407762014606,0.029
130.4006694415149,19.1425887113866,5.149682353734075,7018.11,1.6003412,5.5975833,9.232459,0.01,-0.11889874962061238,0.13970225106838668,0.06367775311730572,0.01
130.4165500451054,20.672141222866763,5.182855385882038,6527.9253,1.6046875,4.2128534,9.522808,0.068,-0.11703915160570529,0.1374400835478484,0.06811302597187548,0.068
130.4260649852559,19.66048086705991,5.4411566330025805,6592.5176,1.5364056,4.017091,9.468747,0.005,-0.11223027833516,0.13174865168282,0.06183350931470965,0.005
130.4324005022724,20.226816426525026,5.508442278230015,6003.3696,1.2252084,1.7566893,10.350761,0.006,-0.11047682008389564,0.12966119629282358,0.0627650052813015,0.006
130.43938534137058,19.267233280270155,5.436498007937776,6182.4,1.3457996,2.383877,10.0419855,0.008,-0.11262996940548042,0.132155602389753,0.06069616701443233,0.008
130.45849949663014,19.874113962387813,5.431902979178197,5040.1377,10.215117,60.66679,6.645986,-0.055,-0.1123455201911149,0.13173279642546545,0.06258482484411791,-0.055
130.4764180992273,19.25733235544234,5.35114315345601,5464.5,1.0391809,0.8675184,11.219938,0.018,-0.11452017601477572,0.1341977027507541,0.06163383256841384,0.018
130.4826297298127,19.689622719884134,5.433313538526468,5714.675,1.0744722,1.1093055,10.896122,0.103,-0.11250202376474129,0.13180383846997548,0.06201091350999343,0.103
130.49076085858243,18.911664620206167,5.736115179721703,6659.1,1.5235435,4.112128,9.328833,-0.001,-0.10708893090683647,0.1254259776121195,0.05650340188265015,-0.001
130.4966820205649,20.918599985245613,5.250682923126876,5724.0,1.0065442,0.97984856,11.104402,,-0.11552799980752192,0.13528177121485607,0.06799901221636986,-0.0956640122328899
130.54774400019068,19.27695703322184,5.444306647483477,5088.6,0.8738579,0.4612853,11.928089,0.044,-0.11271111346612624,0.13174529894818232,0.060638537396682034,0.044
130.55262511247588,21.996854755698976,6.84845151007387,5040.75,0.84938693,0.41964927,11.5428095,-0.049,-0.08802258746222871,0.10286973468023948,0.05469202704647448,-0.049
130.56438695110643,19.687597946667683,5.488618150761642,6296.475,1.4536833,2.9924314,9.772018,0.007,-0.1115559041306855,0.13031835174656148,0.06138001473228319,0.007
130.59441951513088,20.11833096973853,5.559365520592866,5051.743,0.9075693,0.48330283,11.839895,-0.031,-0.10990414269940638,0.12825264203582862,0.06187039250564245,-0.031
130.63423705351917,19.396130621998704,5.13692879185418,5792.0,1.1297939,1.2942177,10.845135,-0.282,-0.11957873102366284,0.1393462967208471,0.06464902387452888,-0.282
130.64454283167083,17.562737212096824,5.462036736675453,5598.46,0.9391466,0.78061306,11.275967,-0.179,-0.11369427808778838,0.13244087428569348,0.05524494358011413,-0.179
130.64516774507422,17.991012459636877,5.592769693497853,5491.6665,1.3330733,1.4561944,10.558574,,-0.11077225165463714,0.12903419899210672,0.05522626939975198,-0.08624589162565165
130.65319265587343,18.388800133424002,5.363008740546205,6225.95,1.3885602,2.6100373,9.972106,,-0.1152735065696601,0.13423948544357583,0.05882212113952094,-0.028114376462048635
130.66737535772427,19.133036603310817,5.365351143031867,5208.6377,0.840749,0.4687314,11.91954,-0.07,-0.11474898553778848,0.1335617597063674,0.06108876958820104,-0.07
130.66950009424806,19.543128679222626,5.351294560133443,6576.27,1.4337914,3.4640582,9.665733,-0.033,-0.11476672952632773,0.1335723913633795,0.06251129000552418,-0.033
130.67690278963875,19.099649730666968,5.480801093228761,5504.0,0.90393794,0.67559373,11.434957,-0.031,-0.11237629763779089,0.13075608233339775,0.05970151381170402,-0.031
130.68489438246985,19.579914583680512,5.136094209689484,6610.793,1.5389541,4.075307,9.578424,-0.033,-0.11958551414943676,0.1391051519062784,0.0652482783535411,-0.033
130.71527661640548,21.472254897446476,5.479623887327304,5528.0,0.95038503,0.7599168,11.305143,-0.063,-0.1107790556828045,0.1287230953366969,0.06680214604868981,-0.063
130.71805398208377,17.133705658337476,6.5622736662109995,6578.47,1.8623929,5.85244,8.653375,-0.073,-0.0949954972709785,0.11037208761238755,0.044893364429598646,-0.073
130.75211354398243,20.337744979622723,5.431982088925898,5424.85,1.0224658,0.815724,11.259017,-0.056,-0.11268318249151905,0.1307655158917269,0.06398280177688662,-0.056
130.7598999376483,19.167516307438163,5.457489724762996,5206.225,0.8316333,0.45777306,11.908672,-0.016,-0.11299996079248198,0.13109709651049656,0.06016157588112533,-0.016
130.77243181969462,18.955364855169854,4.843629243902493,5661.35,1.1126058,1.1456645,11.114794,-0.228,-0.12751642896411172,0.14787298802057447,0.06706365244337563,-0.228
130.77458470915167,19.43752391563055,4.948237864065338,5836.0,1.8907847,3.7362852,9.772595,-0.103,-0.12446089890523969,0.1443187119832005,0.06725197964210598,-0.103
130.7792125642039,19.068304838661746,5.429911932426332,6296.05,1.7177353,4.1771474,9.433238,-0.002,-0.11368649501321933,0.13180371817913686,0.060165822487414464,-0.002
130.79469657450278,19.52623384669599,5.351642021830084,5270.3335,0.94999903,0.6273262,11.598381,-0.07,-0.1150628900666259,0.13332658881741902,0.06245530386695874,-0.07
130.82415945349217,20.510348094309204,5.456443479481596,5253.2627,0.9334755,0.5978841,11.611212,-0.256,-0.11221567277785222,0.12989233864953514,0.06421335576039879,-0.256
130.83398346141772,19.76898165873966,6.427649162857525,5875.0,0.9640695,0.99756885,10.636115,0.01,-0.09573220667858558,0.1107739306833825,0.05262087201476953,0.01
130.85631949057853,19.088288433840894,4.981984679317025,5339.0,0.8324235,0.5072512,11.974101,-0.106,-0.12408622350483335,0.143469922242107,0.06564145828294354,-0.106
130.89789291743583,20.18952576395745,5.269155292910631,6246.0,1.3829044,2.6223276,10.004918,-0.002,-0.11661924566658743,0.13463894432432474,0.0654994222457493,-0.002
130.91012542436198,18.118767973077613,5.591804805146461,7570.6274,1.4155072,5.9298863,9.012545,0.045,-0.11130605308651338,0.12844934661250793,0.055614918171684076,0.045
130.91646400747564,16.898665316375883,5.790719678538993,5143.45,,,9.524035,-0.111,-0.10822094041208444,0.12486115349253382,0.05019754383626386,-0.111
130.91806218480886,16.959501632419563,9.692293945251873,4788.075,0.74253106,0.2610765,11.370489,-0.071,-0.06463844298775083,0.07457314338080306,0.030095629439026984,-0.071
130.95046052221002,18.800698159869338,5.330247979378438,6375.57,1.3260957,2.6177034,9.979712,,-0.11639932369254233,0.13413616379165896,0.06046195815898493,-0.05064155601672119
130.96087590423772,16.89693949050694,4.827629031242483,5352.0596,0.9635036,0.6862544,11.712436,-0.125,-0.12992778151465575,0.1496711055706935,0.06020576191321236,-0.125
131.04253182381038,16.58873514785804,6.491488332449111,5512.0,0.8459125,0.59508973,11.204342,-0.472,-0.09694075204521521,0.11135053051738503,0.043980660928669146,-0.472
131.04533361331906,18.498963189177502,7.52356351060033,5828.3003,1.0937965,1.2437568,10.05745,0.012,-0.08277010686091932,0.09506409962321179,0.04217250180268858,0.012
131.04968310131596,17.902135386996502,5.250280847968286,6550.0376,1.3756946,3.138441,9.814334,-0.036,-0.11902546104404091,0.13668357395345407,0.058547740962310066,-0.036
131.08142138098898,20.805382630421487,6.0094690746282335,5823.3335,0.8928567,0.82593316,10.990165,-0.07,-0.10221882670172908,0.11725236946247625,0.059105850829087044,-0.07
131.11593122260237,20.308866005233547,9.820512979327503,5055.37,0.71007353,0.29669702,11.133326,-0.052,-0.06279775326848945,0.07194602316380849,0.03534242844596484,-0.052
131.11815221730646,20.200855702255925,9.853838439998484,5371.75,0.8356718,0.523877,10.453496,,-0.06263170637710273,0.07175017253377902,0.03504342163601753,0.015712366629763694
131.15414007055708,19.710814720411623,5.337184868733244,6020.0,1.2643011,1.8913925,10.338463,0.031,-0.11607760808362198,0.1328087195430247,0.06319304382579102,0.031
131.19363473077692,19.697499657404574,5.964560817861684,5891.0,1.0828681,1.2723362,10.533479,0.0,-0.10395865359552012,0.11877763583118991,0.05650947041419581,0.0
131.2480663015834,20.910239905397933,4.818535998827149,5869.3,1.1459805,1.4040879,10.890985,,-0.12781850340488382,0.14575899260443817,0.07406916847608,-0.04540120377606055
